Measure Names,Month of MONTH,ROUTE_NAME,Measure Values
Baseline Route Monthly Total Boardings (accessible copy),October 2023,9 San Bruno,"287,000"
Monthly Route Recovery,September 2023,9 San Bruno,1.178253765
Route Monthly Total Boardings (accessible copy),September 2023,9 San Bruno,"324,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,9 San Bruno,"275,000"
Monthly Route Recovery,August 2023,9 San Bruno,1.216526731
Route Monthly Total Boardings (accessible copy),August 2023,9 San Bruno,"318,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,9 San Bruno,"262,000"
Monthly Route Recovery,July 2023,9 San Bruno,1.093067018
Route Monthly Total Boardings (accessible copy),July 2023,9 San Bruno,"307,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,9 San Bruno,"281,000"
Monthly Route Recovery,June 2023,9 San Bruno,0.997915633
Route Monthly Total Boardings (accessible copy),June 2023,9 San Bruno,"290,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,9 San Bruno,"291,000"
Monthly Route Recovery,May 2023,9 San Bruno,1.023964878
Route Monthly Total Boardings (accessible copy),May 2023,9 San Bruno,"308,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,9 San Bruno,"300,000"
Monthly Route Recovery,April 2023,9 San Bruno,1.053936743
Route Monthly Total Boardings (accessible copy),April 2023,9 San Bruno,"301,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,9 San Bruno,"285,000"
Monthly Route Recovery,March 2023,9 San Bruno,1.002008474
Route Monthly Total Boardings (accessible copy),March 2023,9 San Bruno,"298,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,9 San Bruno,"297,000"
Monthly Route Recovery,February 2023,9 San Bruno,1.030773410
Route Monthly Total Boardings (accessible copy),February 2023,9 San Bruno,"271,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,9 San Bruno,"263,000"
Monthly Route Recovery,February 2024,9R San Bruno Rapid,0.713971797
Route Monthly Total Boardings (accessible copy),February 2024,9R San Bruno Rapid,"162,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,9R San Bruno Rapid,"227,000"
Monthly Route Recovery,January 2024,9R San Bruno Rapid,0.623075649
Route Monthly Total Boardings (accessible copy),January 2024,9R San Bruno Rapid,"161,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,9R San Bruno Rapid,"258,000"
Monthly Route Recovery,December 2023,9R San Bruno Rapid,0.600356083
Route Monthly Total Boardings (accessible copy),December 2023,9R San Bruno Rapid,"148,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,9R San Bruno Rapid,"246,000"
Monthly Route Recovery,November 2023,9R San Bruno Rapid,0.632348802
Route Monthly Total Boardings (accessible copy),November 2023,9R San Bruno Rapid,"153,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,9R San Bruno Rapid,"242,000"
Monthly Route Recovery,October 2023,9R San Bruno Rapid,0.537061212
Route Monthly Total Boardings (accessible copy),October 2023,9R San Bruno Rapid,"154,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,9R San Bruno Rapid,"286,000"
Monthly Route Recovery,September 2023,9R San Bruno Rapid,0.619635476
Route Monthly Total Boardings (accessible copy),September 2023,9R San Bruno Rapid,"155,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,9R San Bruno Rapid,"251,000"
Monthly Route Recovery,August 2023,9R San Bruno Rapid,0.642934754
Route Monthly Total Boardings (accessible copy),August 2023,9R San Bruno Rapid,"171,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,9R San Bruno Rapid,"266,000"
Monthly Route Recovery,July 2023,9R San Bruno Rapid,0.543294448
Route Monthly Total Boardings (accessible copy),July 2023,9R San Bruno Rapid,"141,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,9R San Bruno Rapid,"260,000"
Monthly Route Recovery,June 2023,9R San Bruno Rapid,0.615898255
Route Monthly Total Boardings (accessible copy),June 2023,9R San Bruno Rapid,"152,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,9R San Bruno Rapid,"246,000"
Monthly Route Recovery,May 2023,9R San Bruno Rapid,0.611063118
Route Monthly Total Boardings (accessible copy),May 2023,9R San Bruno Rapid,"162,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,9R San Bruno Rapid,"265,000"
Monthly Route Recovery,April 2023,9R San Bruno Rapid,0.558743674
Route Monthly Total Boardings (accessible copy),April 2023,9R San Bruno Rapid,"145,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,9R San Bruno Rapid,"260,000"
Monthly Route Recovery,March 2023,9R San Bruno Rapid,0.625829391
Route Monthly Total Boardings (accessible copy),March 2023,9R San Bruno Rapid,"157,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,9R San Bruno Rapid,"250,000"
Monthly Route Recovery,February 2023,9R San Bruno Rapid,0.599025951
Route Monthly Total Boardings (accessible copy),February 2023,9R San Bruno Rapid,"136,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,9R San Bruno Rapid,"227,000"
Monthly Route Recovery,February 2024,12 Folsom/Pacific,1.105029994
Route Monthly Total Boardings (accessible copy),February 2024,12 Folsom/Pacific,"178,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,12 Folsom/Pacific,"161,000"
Monthly Route Recovery,January 2024,12 Folsom/Pacific,1.043927041
Route Monthly Total Boardings (accessible copy),January 2024,12 Folsom/Pacific,"186,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,12 Folsom/Pacific,"178,000"
Monthly Route Recovery,December 2023,12 Folsom/Pacific,1.000478250
Route Monthly Total Boardings (accessible copy),December 2023,12 Folsom/Pacific,"170,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,12 Folsom/Pacific,"170,000"
Monthly Route Recovery,November 2023,12 Folsom/Pacific,0.997195101
Route Monthly Total Boardings (accessible copy),November 2023,12 Folsom/Pacific,"176,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,12 Folsom/Pacific,"176,000"
Monthly Route Recovery,October 2023,12 Folsom/Pacific,1.013274807
Route Monthly Total Boardings (accessible copy),October 2023,12 Folsom/Pacific,"197,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,12 Folsom/Pacific,"195,000"
Monthly Route Recovery,September 2023,12 Folsom/Pacific,1.038368339
Route Monthly Total Boardings (accessible copy),September 2023,12 Folsom/Pacific,"190,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,12 Folsom/Pacific,"183,000"
Monthly Route Recovery,August 2023,12 Folsom/Pacific,1.015619868
Route Monthly Total Boardings (accessible copy),August 2023,12 Folsom/Pacific,"191,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,12 Folsom/Pacific,"188,000"
Monthly Route Recovery,July 2023,12 Folsom/Pacific,0.980678521
Route Monthly Total Boardings (accessible copy),July 2023,12 Folsom/Pacific,"174,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,12 Folsom/Pacific,"177,000"
Monthly Route Recovery,June 2023,12 Folsom/Pacific,1.012500798
Route Monthly Total Boardings (accessible copy),June 2023,12 Folsom/Pacific,"172,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,12 Folsom/Pacific,"170,000"
Monthly Route Recovery,May 2023,12 Folsom/Pacific,0.968098140
Route Monthly Total Boardings (accessible copy),May 2023,12 Folsom/Pacific,"175,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,12 Folsom/Pacific,"181,000"
Monthly Route Recovery,April 2023,12 Folsom/Pacific,0.924207111
Route Monthly Total Boardings (accessible copy),April 2023,12 Folsom/Pacific,"163,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,12 Folsom/Pacific,"177,000"
Monthly Route Recovery,March 2023,12 Folsom/Pacific,0.945379070
Route Monthly Total Boardings (accessible copy),March 2023,12 Folsom/Pacific,"166,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,12 Folsom/Pacific,"175,000"
Monthly Route Recovery,February 2023,12 Folsom/Pacific,0.892489685
Route Monthly Total Boardings (accessible copy),February 2023,12 Folsom/Pacific,"144,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,12 Folsom/Pacific,"161,000"
Monthly Route Recovery,February 2024,14 Mission,0.894145772
Route Monthly Total Boardings (accessible copy),February 2024,14 Mission,"649,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,14 Mission,"726,000"
Monthly Route Recovery,January 2024,14 Mission,0.835518591
Route Monthly Total Boardings (accessible copy),January 2024,14 Mission,"661,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,14 Mission,"791,000"
Monthly Route Recovery,December 2023,14 Mission,0.903571315
Route Monthly Total Boardings (accessible copy),December 2023,14 Mission,"669,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,14 Mission,"741,000"
Monthly Route Recovery,November 2023,14 Mission,0.836681207
Route Monthly Total Boardings (accessible copy),November 2023,14 Mission,"644,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,14 Mission,"770,000"
Monthly Route Recovery,October 2023,14 Mission,0.836520301
Route Monthly Total Boardings (accessible copy),October 2023,14 Mission,"708,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,14 Mission,"847,000"
Monthly Route Recovery,September 2023,14 Mission,0.844992477
Route Monthly Total Boardings (accessible copy),September 2023,14 Mission,"684,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,14 Mission,"809,000"
Monthly Route Recovery,August 2023,14 Mission,0.830659238
Route Monthly Total Boardings (accessible copy),August 2023,14 Mission,"688,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,14 Mission,"829,000"
Monthly Route Recovery,July 2023,14 Mission,0.880511028
Route Monthly Total Boardings (accessible copy),July 2023,14 Mission,"682,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,14 Mission,"775,000"
Monthly Route Recovery,June 2023,14 Mission,0.857144516
Route Monthly Total Boardings (accessible copy),June 2023,14 Mission,"678,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,14 Mission,"792,000"
Monthly Route Recovery,May 2023,14 Mission,0.844006048
Route Monthly Total Boardings (accessible copy),May 2023,14 Mission,"704,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,14 Mission,"834,000"
Monthly Route Recovery,April 2023,14 Mission,0.873812454
Route Monthly Total Boardings (accessible copy),April 2023,14 Mission,"692,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,14 Mission,"792,000"
Monthly Route Recovery,March 2023,14 Mission,0.868730002
Route Monthly Total Boardings (accessible copy),March 2023,14 Mission,"686,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,14 Mission,"790,000"
Monthly Route Recovery,February 2023,14 Mission,0.834775077
Route Monthly Total Boardings (accessible copy),February 2023,14 Mission,"606,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,14 Mission,"726,000"
Monthly Route Recovery,February 2024,14R Mission Rapid,1.165211171
Route Monthly Total Boardings (accessible copy),February 2024,14R Mission Rapid,"559,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,14R Mission Rapid,"479,000"
Monthly Route Recovery,January 2024,14R Mission Rapid,1.081707886
Route Monthly Total Boardings (accessible copy),January 2024,14R Mission Rapid,"570,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,14R Mission Rapid,"527,000"
Monthly Route Recovery,December 2023,14R Mission Rapid,1.067539796
Route Monthly Total Boardings (accessible copy),December 2023,14R Mission Rapid,"563,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,14R Mission Rapid,"528,000"
Monthly Route Recovery,November 2023,14R Mission Rapid,1.077705511
Route Monthly Total Boardings (accessible copy),November 2023,14R Mission Rapid,"555,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,14R Mission Rapid,"515,000"
Monthly Route Recovery,October 2023,14R Mission Rapid,1.076969839
Route Monthly Total Boardings (accessible copy),October 2023,14R Mission Rapid,"624,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,14R Mission Rapid,"580,000"
Monthly Route Recovery,September 2023,14R Mission Rapid,1.127272791
Route Monthly Total Boardings (accessible copy),September 2023,14R Mission Rapid,"595,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,14R Mission Rapid,"528,000"
Monthly Route Recovery,August 2023,14R Mission Rapid,1.166171109
Route Monthly Total Boardings (accessible copy),August 2023,14R Mission Rapid,"622,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,14R Mission Rapid,"533,000"
Monthly Route Recovery,July 2023,14R Mission Rapid,1.109853874
Route Monthly Total Boardings (accessible copy),July 2023,14R Mission Rapid,"582,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,14R Mission Rapid,"525,000"
Monthly Route Recovery,June 2023,14R Mission Rapid,1.089987411
Route Monthly Total Boardings (accessible copy),June 2023,14R Mission Rapid,"571,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,14R Mission Rapid,"524,000"
Monthly Route Recovery,May 2023,14R Mission Rapid,1.065634031
Route Monthly Total Boardings (accessible copy),May 2023,14R Mission Rapid,"590,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,14R Mission Rapid,"553,000"
Monthly Route Recovery,April 2023,14R Mission Rapid,1.057395526
Route Monthly Total Boardings (accessible copy),April 2023,14R Mission Rapid,"568,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,14R Mission Rapid,"538,000"
Monthly Route Recovery,March 2023,14R Mission Rapid,1.033439726
Route Monthly Total Boardings (accessible copy),March 2023,14R Mission Rapid,"552,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,14R Mission Rapid,"534,000"
Monthly Route Recovery,February 2023,14R Mission Rapid,1.041894739
Route Monthly Total Boardings (accessible copy),February 2023,14R Mission Rapid,"499,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,14R Mission Rapid,"479,000"
Monthly Route Recovery,February 2024,18 46th Avenue,0.917516046
Route Monthly Total Boardings (accessible copy),February 2024,18 46th Avenue,"68,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,18 46th Avenue,"75,000"
Monthly Route Recovery,January 2024,18 46th Avenue,0.832135637
Route Monthly Total Boardings (accessible copy),January 2024,18 46th Avenue,"65,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,18 46th Avenue,"78,000"
Monthly Route Recovery,December 2023,18 46th Avenue,0.822710512
Route Monthly Total Boardings (accessible copy),December 2023,18 46th Avenue,"62,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,18 46th Avenue,"75,000"
Monthly Route Recovery,November 2023,18 46th Avenue,0.801370089
Route Monthly Total Boardings (accessible copy),November 2023,18 46th Avenue,"63,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,18 46th Avenue,"78,000"
Monthly Route Recovery,October 2023,18 46th Avenue,0.772381037
Route Monthly Total Boardings (accessible copy),October 2023,18 46th Avenue,"74,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,18 46th Avenue,"95,000"
Monthly Route Recovery,September 2023,18 46th Avenue,0.837196074
Route Monthly Total Boardings (accessible copy),September 2023,18 46th Avenue,"75,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,18 46th Avenue,"89,000"
Monthly Route Recovery,August 2023,18 46th Avenue,0.898328396
Route Monthly Total Boardings (accessible copy),August 2023,18 46th Avenue,"73,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,18 46th Avenue,"81,000"
Monthly Route Recovery,July 2023,18 46th Avenue,0.814488272
Route Monthly Total Boardings (accessible copy),July 2023,18 46th Avenue,"60,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,18 46th Avenue,"74,000"
Monthly Route Recovery,June 2023,18 46th Avenue,0.826815633
Route Monthly Total Boardings (accessible copy),June 2023,18 46th Avenue,"59,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,18 46th Avenue,"71,000"
Monthly Route Recovery,May 2023,18 46th Avenue,0.762627952
Route Monthly Total Boardings (accessible copy),May 2023,18 46th Avenue,"67,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,18 46th Avenue,"88,000"
Monthly Route Recovery,April 2023,18 46th Avenue,0.758602652
Route Monthly Total Boardings (accessible copy),April 2023,18 46th Avenue,"66,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,18 46th Avenue,"88,000"
Monthly Route Recovery,March 2023,18 46th Avenue,0.753429694
Route Monthly Total Boardings (accessible copy),March 2023,18 46th Avenue,"60,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,18 46th Avenue,"80,000"
Monthly Route Recovery,February 2023,18 46th Avenue,0.748957075
Route Monthly Total Boardings (accessible copy),February 2023,18 46th Avenue,"56,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,18 46th Avenue,"75,000"
Monthly Route Recovery,February 2024,19 Polk,1.127354021
Route Monthly Total Boardings (accessible copy),February 2024,19 Polk,"160,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,19 Polk,"142,000"
Monthly Route Recovery,January 2024,19 Polk,0.974322728
Route Monthly Total Boardings (accessible copy),January 2024,19 Polk,"159,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,19 Polk,"164,000"
Monthly Route Recovery,December 2023,19 Polk,0.970367215
Route Monthly Total Boardings (accessible copy),December 2023,19 Polk,"152,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,19 Polk,"157,000"
Monthly Route Recovery,November 2023,19 Polk,0.968416963
Route Monthly Total Boardings (accessible copy),November 2023,19 Polk,"158,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,19 Polk,"163,000"
Monthly Route Recovery,October 2023,19 Polk,0.915541323
Route Monthly Total Boardings (accessible copy),October 2023,19 Polk,"172,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,19 Polk,"187,000"
Monthly Route Recovery,September 2023,19 Polk,0.976289832
Route Monthly Total Boardings (accessible copy),September 2023,19 Polk,"169,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,19 Polk,"173,000"
Monthly Route Recovery,August 2023,19 Polk,0.936819525
Route Monthly Total Boardings (accessible copy),August 2023,19 Polk,"168,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,19 Polk,"180,000"
Monthly Route Recovery,July 2023,19 Polk,0.844510998
Route Monthly Total Boardings (accessible copy),July 2023,19 Polk,"150,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,19 Polk,"177,000"
Monthly Route Recovery,June 2023,19 Polk,0.873907085
Route Monthly Total Boardings (accessible copy),June 2023,19 Polk,"144,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,19 Polk,"165,000"
Monthly Route Recovery,May 2023,19 Polk,0.852890421
Route Monthly Total Boardings (accessible copy),May 2023,19 Polk,"159,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,19 Polk,"186,000"
Monthly Route Recovery,April 2023,19 Polk,0.886114999
Route Monthly Total Boardings (accessible copy),April 2023,19 Polk,"151,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,19 Polk,"170,000"
Monthly Route Recovery,March 2023,19 Polk,0.835257838
Route Monthly Total Boardings (accessible copy),March 2023,19 Polk,"149,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,19 Polk,"178,000"
Monthly Route Recovery,February 2023,19 Polk,0.922448346
Route Monthly Total Boardings (accessible copy),February 2023,19 Polk,"131,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,19 Polk,"142,000"
Monthly Route Recovery,February 2024,21 Hayes,0.183347056
Route Monthly Total Boardings (accessible copy),February 2024,21 Hayes,"31,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,21 Hayes,"167,000"
Monthly Route Recovery,January 2024,21 Hayes,0.171098462
Route Monthly Total Boardings (accessible copy),January 2024,21 Hayes,"30,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,21 Hayes,"172,000"
Monthly Route Recovery,December 2023,21 Hayes,0.153108794
Route Monthly Total Boardings (accessible copy),December 2023,21 Hayes,"27,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,21 Hayes,"173,000"
Monthly Route Recovery,November 2023,21 Hayes,0.167803744
Route Monthly Total Boardings (accessible copy),November 2023,21 Hayes,"29,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,21 Hayes,"175,000"
Monthly Route Recovery,October 2023,21 Hayes,0.170716267
Route Monthly Total Boardings (accessible copy),October 2023,21 Hayes,"34,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,21 Hayes,"197,000"
Monthly Route Recovery,September 2023,21 Hayes,0.175906892
Route Monthly Total Boardings (accessible copy),September 2023,21 Hayes,"33,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,21 Hayes,"188,000"
Monthly Route Recovery,August 2023,21 Hayes,0.165015193
Route Monthly Total Boardings (accessible copy),August 2023,21 Hayes,"32,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,21 Hayes,"195,000"
Monthly Route Recovery,July 2023,21 Hayes,0.146079071
Route Monthly Total Boardings (accessible copy),July 2023,21 Hayes,"28,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,21 Hayes,"190,000"
Monthly Route Recovery,June 2023,21 Hayes,0.154136506
Route Monthly Total Boardings (accessible copy),June 2023,21 Hayes,"26,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,21 Hayes,"168,000"
Monthly Route Recovery,May 2023,21 Hayes,0.159105575
Route Monthly Total Boardings (accessible copy),May 2023,21 Hayes,"28,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,21 Hayes,"177,000"
Monthly Route Recovery,April 2023,21 Hayes,0.153731800
Route Monthly Total Boardings (accessible copy),April 2023,21 Hayes,"28,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,21 Hayes,"180,000"
Monthly Route Recovery,March 2023,21 Hayes,0.143364391
Route Monthly Total Boardings (accessible copy),March 2023,21 Hayes,"26,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,21 Hayes,"182,000"
Monthly Route Recovery,February 2023,21 Hayes,0.134484299
Route Monthly Total Boardings (accessible copy),February 2023,21 Hayes,"23,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,21 Hayes,"167,000"
Monthly Route Recovery,February 2024,22 Fillmore,1.347403184
Route Monthly Total Boardings (accessible copy),February 2024,22 Fillmore,"566,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,22 Fillmore,"420,000"
Monthly Route Recovery,January 2024,22 Fillmore,1.261010839
Route Monthly Total Boardings (accessible copy),January 2024,22 Fillmore,"567,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,22 Fillmore,"450,000"
Monthly Route Recovery,December 2023,22 Fillmore,1.166654623
Route Monthly Total Boardings (accessible copy),December 2023,22 Fillmore,"534,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,22 Fillmore,"457,000"
Monthly Route Recovery,November 2023,22 Fillmore,1.151643458
Route Monthly Total Boardings (accessible copy),November 2023,22 Fillmore,"557,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,22 Fillmore,"484,000"
Monthly Route Recovery,October 2023,22 Fillmore,1.118948119
Route Monthly Total Boardings (accessible copy),October 2023,22 Fillmore,"610,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,22 Fillmore,"545,000"
Monthly Route Recovery,September 2023,22 Fillmore,1.131253286
Route Monthly Total Boardings (accessible copy),September 2023,22 Fillmore,"569,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,22 Fillmore,"503,000"
Monthly Route Recovery,August 2023,22 Fillmore,1.293193069
Route Monthly Total Boardings (accessible copy),August 2023,22 Fillmore,"582,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,22 Fillmore,"450,000"
Monthly Route Recovery,July 2023,22 Fillmore,1.144490556
Route Monthly Total Boardings (accessible copy),July 2023,22 Fillmore,"517,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,22 Fillmore,"452,000"
Monthly Route Recovery,June 2023,22 Fillmore,1.122628355
Route Monthly Total Boardings (accessible copy),June 2023,22 Fillmore,"520,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,22 Fillmore,"463,000"
Monthly Route Recovery,May 2023,22 Fillmore,1.102185817
Route Monthly Total Boardings (accessible copy),May 2023,22 Fillmore,"564,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,22 Fillmore,"511,000"
Monthly Route Recovery,April 2023,22 Fillmore,1.206589343
Route Monthly Total Boardings (accessible copy),April 2023,22 Fillmore,"546,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,22 Fillmore,"453,000"
Monthly Route Recovery,March 2023,22 Fillmore,1.193804466
Route Monthly Total Boardings (accessible copy),March 2023,22 Fillmore,"536,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,22 Fillmore,"449,000"
Monthly Route Recovery,February 2023,22 Fillmore,1.134649334
Route Monthly Total Boardings (accessible copy),February 2023,22 Fillmore,"477,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,22 Fillmore,"420,000"
Monthly Route Recovery,February 2024,23 Monterey,0.729822362
Route Monthly Total Boardings (accessible copy),February 2024,23 Monterey,"54,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,23 Monterey,"74,000"
Monthly Route Recovery,January 2024,23 Monterey,0.640754842
Route Monthly Total Boardings (accessible copy),January 2024,23 Monterey,"53,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,23 Monterey,"82,000"
Monthly Route Recovery,December 2023,23 Monterey,0.685927728
Route Monthly Total Boardings (accessible copy),December 2023,23 Monterey,"50,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,23 Monterey,"72,000"
Monthly Route Recovery,November 2023,23 Monterey,0.639263078
Route Monthly Total Boardings (accessible copy),November 2023,23 Monterey,"52,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,23 Monterey,"81,000"
Monthly Route Recovery,October 2023,23 Monterey,0.672916831
Route Monthly Total Boardings (accessible copy),October 2023,23 Monterey,"62,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,23 Monterey,"92,000"
Monthly Route Recovery,September 2023,23 Monterey,0.697566497
Route Monthly Total Boardings (accessible copy),September 2023,23 Monterey,"57,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,23 Monterey,"82,000"
Monthly Route Recovery,August 2023,23 Monterey,0.687793148
Route Monthly Total Boardings (accessible copy),August 2023,23 Monterey,"57,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,23 Monterey,"83,000"
Monthly Route Recovery,July 2023,23 Monterey,0.664593828
Route Monthly Total Boardings (accessible copy),July 2023,23 Monterey,"51,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,23 Monterey,"76,000"
Monthly Route Recovery,June 2023,23 Monterey,0.612503007
Route Monthly Total Boardings (accessible copy),June 2023,23 Monterey,"50,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,23 Monterey,"82,000"
Monthly Route Recovery,May 2023,23 Monterey,0.640976117
Route Monthly Total Boardings (accessible copy),May 2023,23 Monterey,"55,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,23 Monterey,"86,000"
Monthly Route Recovery,April 2023,23 Monterey,0.646697575
Route Monthly Total Boardings (accessible copy),April 2023,23 Monterey,"51,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,23 Monterey,"78,000"
Monthly Route Recovery,March 2023,23 Monterey,0.565085165
Route Monthly Total Boardings (accessible copy),March 2023,23 Monterey,"47,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,23 Monterey,"83,000"
Monthly Route Recovery,February 2023,23 Monterey,0.589495740
Route Monthly Total Boardings (accessible copy),February 2023,23 Monterey,"44,000"
